"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Chandler Shepherd","BOS","RP","47.1","34","0","0","2","4.61","1.37","24","52","13","8","22","3","3","0%"
"Erik Goeddel","","RP","38.3","42","0","0","2","4.62","1.41","20","35","19","7","39","2","2","0%"
"Carlos Estevez","COL","RP","28.3","29","0","0","2","4.39","1.39","14","27","12","4","29","2","2","0%"
"Jaime Schultz","LAD","RP","31.6","38","1","0","2","4.74","1.44","17","27","19","6","20","2","2","0%"
"Peter Moylan","","RP","36.6","29","0","0","2","4.33","1.46","18","37","16","5","40","2","2","0%"
"Gerson Bautista","SEA","RP","34.8","37","0","0","2","4.51","1.49","17","33","18","4","33","2","2","0%"
"Marcus Walden","BOS","SP,RP","40.9","32","0","0","2","4.31","1.45","20","43","16","4","33","2","2","0%"
"Robby Scott","ARI","RP","23.8","24","0","0","2","4.15","1.36","11","22","11","4","28","1","1","0%"
"Brady Rodgers","HOU","SP,RP","34.3","24","0","0","2","4.75","1.38","18","38","10","5","11","2","2","0%"
"James Norwood","CHC","RP","32.8","32","0","0","2","4.38","1.49","16","31","18","4","30","2","2","0%"
"Trevor Gott","SF","RP","29.0","26","0","0","2","4.22","1.43","14","29","12","2","32","1","2","0%"
"Sal Romano","CIN","SP,RP","50.0","39","0","0","2","4.84","1.43","27","54","18","9","29","2","3","0%"
"Tyler Kinley","MIA","RP","44.8","50","0","0","2","4.96","1.47","25","41","25","5","45","1","2","0%"
"A.J. Cole","CLE","RP","51.3","48","0","0","2","4.96","1.47","28","54","21","9","24","3","3","0%"
"Sam Coonrod","SF","SP,RP","43.3","37","0","0","2","4.64","1.50","22","44","21","7","19","2","3","0%"
"Evan Phillips","BAL","RP","38.6","40","0","0","2","4.77","1.48","20","36","21","6","35","2","3","0%"
"Josh Taylor","BOS","RP","30.9","26","0","0","2","4.53","1.50","16","32","15","4","30","2","2","0%"
"Johnny Barbato","","RP","36.5","30","0","0","2","4.68","1.48","19","38","17","6","32","2","2","0%"
"Zac Reininger","DET","RP","39.4","31","0","0","2","4.98","1.47","22","43","15","6","36","2","2","0%"
"Warwick Saupold","","RP","57.5","37","0","0","2","4.76","1.51","30","64","23","10","33","3","3","0%"
"Glenn Sparkman","KC","SP,RP","46.5","31","0","0","2","4.99","1.50","26","57","13","7","26","2","3","0%"
"Miguel Almonte","LAA","SP,RP","40.1","35","0","0","2","4.98","1.52","22","41","20","9","28","2","3","0%"
"Bruce Rondon","","RP","29.6","36","0","0","2","5.10","1.62","17","27","21","3","35","2","2","0%"
"Hunter Harvey","BAL","SP,RP","32.2","25","0","0","2","5.21","1.44","19","35","12","5","18","1","2","0%"
"Ben Heller","NYY","RP","21.2","24","0","0","2","5.29","1.64","12","25","10","4","27","2","1","0%"
"Matt Moore","DET","SP,RP","105.0","86","0","0","2","5.24","1.50","61","119","39","17","24","5","8","0%"
"Merandy Gonzalez","SF","SP,RP","47.1","33","0","0","2","4.81","1.56","25","52","22","7","19","2","3","0%"
"Blaine Boyer","","RP","33.0","22","0","0","2","5.07","1.54","19","37","14","5","30","2","2","0%"
"Tim Collins","MIN","RP","25.8","24","0","0","2","4.99","1.58","14","25","16","5","38","1","2","0%"
"James Bourque","WSH","RP","47.0","42","0","0","2","5.41","1.59","28","50","25","13","28","3","3","0%"
"Eduardo Jimenez","DET","RP","32.2","22","0","0","2","5.16","1.60","18","35","17","4","28","2","2","0%"
"Jeff Beliveau","CLE","RP","23.9","24","0","0","2","5.12","1.61","14","23","16","6","27","1","1","0%"
"Rayan Gonzalez","COL","RP","21.4","18","0","0","2","5.33","1.61","13","23","12","3","22","1","1","0%"
"Julian Fernandez","MIA","RP","20.5","16","0","0","2","5.05","1.66","12","21","13","3","22","1","1","0%"
"Vance Worley","","SP,RP","52.7","31","0","0","2","5.41","1.57","32","62","21","13","25","3","4","0%"
"Jared Miller","ARI","SP,RP","39.7","46","0","0","2","5.23","1.81","23","36","36","7","36","2","2","0%"
"Jesus Liranzo","PIT","RP","32.7","35","0","0","2","5.75","1.72","21","32","24","8","28","1","2","0%"
